,precision,recall,f1_score,support,tp,fp,fn,tn
Visitor,1.0,0.99,0.9949748743718593,100,99,0,1,1200
Observer,1.0,0.98,0.98989898989899,100,98,0,2,1200
Decorator,0.98989898989899,0.98,0.9849246231155778,100,98,1,2,1199
Proxy,1.0,0.96,0.9795918367346939,100,96,0,4,1200
Adapter,0.9797979797979798,0.97,0.9748743718592964,100,97,2,3,1198
Memento,1.0,0.9494949494949495,0.9740932642487047,99,94,0,5,1201
Builder,0.9603960396039604,0.97,0.9651741293532338,100,97,4,3,1196
Facade,1.0,0.9019607843137255,0.9484536082474228,102,92,0,10,1198
Prototype,0.9574468085106383,0.9090909090909091,0.9326424870466321,99,90,4,9,1197
Singleton,0.9886363636363636,0.87,0.925531914893617,100,87,1,13,1199
None,0.847457627118644,1.0,0.9174311926605504,100,100,18,0,1182
AbstractFactory,0.8495575221238938,0.96,0.9014084507042253,100,96,17,4,1183
FactoryMethod,0.8623853211009175,0.94,0.8995215311004784,100,94,15,6,1185
